name,saves,cleanSheet,penaltySave,savedInsideBox,runsOut,team,age,ageCategory
Filip Jörgensen,72,2,0,49,3,Villarreal,21,young
Stole Dimitrievski,61,7,1,42,5,Rayo Vallecano,29,ideal
Álvaro Valles,56,4,0,31,13,Las Palmas,26,ideal
Paulo Gazzaniga,56,4,0,36,1,Girona FC,31,veteran
Unai Simón,56,7,1,36,9,Athletic Club,26,ideal
David Soria,56,7,0,37,14,Getafe,30,veteran
Jeremías Ledesma,55,2,0,34,8,Cádiz,30,veteran
Álex Remiro,54,5,0,34,10,Real Sociedad,28,ideal
Giorgi Mamardashvili,50,5,1,36,5,Valencia,23,young
André Ferreira,47,0,0,28,5,Granada,27,ideal
Jan Oblak,44,5,0,29,4,Atlético Madrid,30,veteran
Predrag Rajković,42,5,0,26,7,Mallorca,28,ideal
Antonio Sivera,42,3,0,26,9,Deportivo Alavés,27,ideal
Luís Maximiano,40,1,1,27,6,Almería,24,young
Marc-André ter Stegen,32,6,0,22,1,Barcelona,31,veteran
Sergio Herrera,31,4,1,20,7,Osasuna,30,veteran
Marko Dmitrović,27,1,0,19,6,Sevilla,31,veteran
Iván Villar,27,0,1,16,1,Celta Vigo,26,ideal
Kepa Arrizabalaga,24,5,0,16,2,Real Madrid,29,ideal
Rui Silva,23,3,0,14,2,Real Betis,29,ideal
Vicente Guaita,22,3,0,19,4,Celta Vigo,36,veteran
Andriy Lunin,20,3,0,14,3,Real Madrid,24,young
Claudio Bravo,16,2,0,7,1,Real Betis,40,veteran
Ørjan Nyland,16,1,0,12,1,Sevilla,33,veteran
Iñaki Peña,12,1,0,8,0,Barcelona,24,young
Francisco Vieites,10,1,0,5,1,Real Betis,24,young
David Gil,9,0,0,6,0,Cádiz,29,ideal
Raúl Fernández,8,0,0,6,4,Granada,35,veteran
Fernando Martínez,4,0,0,1,3,Almería,33,veteran
Aitor Fernández,3,0,0,1,1,Osasuna,32,veteran
Diego Mariño,2,0,0,1,1,Almería,33,veteran
Bono,1,0,0,1,0,Sevilla,32,veteran
Pepe Reina,0,0,0,0,0,Villarreal,41,veteran
